file_name,file_size_original,file_size_transcoded,compression_ratio,transcoding_time,archive_format
test_tiny,245004,116033,0.47359634944735596,139,gzip
test_tiny,245004,1207041,4.926617524611843,294,zip
test_small,974331,441082,0.4527024183773276,793,gzip
test_small,974331,4533948,4.653396022501593,1380,zip
test_medium,3886238,1601200,0.4120179978683755,2159,gzip
test_medium,3886238,14702810,3.783301485910024,4037,zip
test_large,14784572,6010297,0.4065249234134069,13957,gzip
test_large,14784572,52259864,3.534756636850901,21036,zip
test_detail_low,345237,297859,0.8627667370530968,670,gzip
test_detail_low,345237,3526027,10.213351987185614,1131,zip
test_detail_high,785610,364100,0.46346151398276497,668,gzip
test_detail_high,785610,3602062,4.585051106783264,1163,zip
test_pixel,7649,5328,0.6965616420447117,77,gzip
test_pixel,7649,68090,8.90181723101059,87,zip
test_gradient,142670,4138,0.02900399523375622,79,gzip
test_gradient,142670,36116,0.2531436181397631,83,zip
test_black_white,331351,194783,0.5878449137017845,647,gzip
test_black_white,331351,2748058,8.293495417246364,990,zip
test_color,502888,215394,0.4283140580009863,646,gzip
test_color,502888,2811228,5.590167194285805,1008,zip
test_fine_print,30956,546,0.017637937718051427,224,gzip
test_fine_print,30956,659,0.021288280139552914,221,zip
